,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
8179,1261446046774951937,0 days 07:51:46.571428571,471.77,7.863,119,38,0,neutral,0
8180,1261450133125947392,0 days 02:41:47.888888888,161.78,2.696,294,29,0,neutral,0
8181,1261464683531337728,0 days 00:00:11.250000000,0.18,0.003,22,36,-2,negative,1
8182,1261505136872116225,0 days 00:00:03.333333333,0.05,0.001,97,19,1,positive,1
8183,1261506052496986112,0 days 02:46:19.166666666,166.32,2.772,75,240,0,neutral,0
8184,1261511170629922817,0 days 00:00:07.333333333,0.12,0.002,77,17,-1,negative,1
8185,1261511753835241472,0 days 07:56:22.800000000,476.37,7.939,298,511,0,neutral,0
8186,1261512015174078469,0 days 01:53:36.769230769,113.6,1.893,136,2,4,positive,0
8187,1261513924379201538,0 days 00:00:11.000000000,0.18,0.003,25,0,1,positive,1
8188,1261542667416150017,0 days 04:27:44.714285714,267.73,4.462,393,0,2,positive,0
8189,1261542889454055424,0 days 00:03:00.666666666,3.0,0.05,10,52,1,positive,1
8190,1261579105809469440,0 days 01:51:45.357142857,111.75,1.863,40,67,2,positive,0
8191,1261582723832897536,0 days 02:12:27.571428571,132.45,2.208,498,80,3,positive,0
8192,1261588900499410944,0 days 04:58:17.250000000,298.28,4.971,422,9,2,positive,0
8193,1261590017568210944,0 days 05:26:51.250000000,326.85,5.447,3,11947,2,positive,0
8194,1261595605366792193,0 days 00:00:22.200000000,0.37,0.006,61,32,2,positive,1
8195,1261601102178516993,0 days 01:28:43.882352941,88.72,1.479,121,113,6,positive,1
8196,1261617874348781574,0 days 07:38:16.666666666,458.27,7.638,25,22,0,neutral,0
8197,1261618116007735297,0 days 15:53:48.000000000,953.8,15.897,306,12,-1,negative,0
8198,1261620535001219073,0 days 00:00:08.875000000,0.13,0.002,4,130,1,positive,1
8199,1261674665610817544,0 days 00:00:38.000000000,0.63,0.011,3,1,2,positive,1
8200,1261687694566002689,0 days 00:20:50.666666666,20.83,0.347,8,7,1,positive,1
8201,1261694383252025344,0 days 02:05:13.888888888,125.22,2.087,54,38,-2,negative,0
8202,1261700051086295040,0 days 00:00:06.000000000,0.1,0.002,10,11,1,positive,1
8203,1261715153780977668,0 days 00:00:21.000000000,0.35,0.006,40,3688,0,neutral,1
